song_id,item_id,name,full_name,genre,artist_name,original_bga_yn,loop_bga_yn,composed_by,singer,feat_by,arranged_by,visualized_by,cost_game_point,cost_game_cash,flag,status,free_yn,hidden_yn,open_yn,track_id,mod_date,update
66,66,rutin,Ruti'n,Urban Pop,BEXTER,Y,N,BEXTER,So Fly,"JC(on Rap),Planetboom(on Guitar)",,"Shin Min Kyung, CARROTJUICE",0,0,0,,Y,N,Y,21,2.01E+13,0
67,67,festanova,Festa Nova,Tropical Jazz,TerraMycin,Y,N,TerraMycin,,,,DumpingLIFE,0,0,0,,Y,N,Y,341,2.01E+13,0
68,68,super2011,SuperSonic 2011,Rock Band,Pentavision Sound LAB,Y,N,Planetboom,Michael Blunck,"Planetboom(on Guitar), AstroKid(on Guitar), Cuve(On Keyboard)",Pentavision Sound LAB,Pentavision Sound LAB,0,0,0,,Y,N,Y,328,2.01E+13,0
69,69,stop,STOP,BigBand HOUSE,3rd Coast,Y,N,3rd Coast,So Fly,JC(on Rap),,"ZAKTAN, 79C",0,0,0,,Y,N,Y,234,2.01E+13,0
70,70,desperado,Desperado,Electronic Funk,CROOVE,Y,N,CROOVE,,JC(on Rap),,"Cold Play, Latte",0,0,0,,Y,N,Y,274,2.01E+13,0
71,71,starlight,별빛정원,Starlight Pop,vneld,Y,N,vneld,Lee Jung Eun,,,"PUNEW, ENTIA J",0,0,0,,Y,N,Y,342,2.01E+13,0
72,72,thor,Thor,Melodic Trance,XeoN,Y,N,XeoN,,,,"STATO, HooN",0,0,0,,Y,N,Y,182,2.01E+13,0
73,73,fermion,Fermion,Psychedelic Trance,makou,Y,N,makou,,,,"CRAZYRED, JIN",0,0,0,,Y,N,Y,287,2.01E+13,0
74,74,remember,Remember,K-POP,Lin-G,Y,N,Lin-G,Miya,,,"BBANG, woodstock",0,0,0,,Y,N,Y,290,2.01E+13,0
75,75,hereinthe,Here in the Moment,Latin House,Ruby Tuesday,Y,N,Ruby Tuesday,LEAH,,,"KKUEM, HWAIN, JIN",0,0,0,,Y,N,Y,179,2.01E+13,0
76,76,sonof,SON OF SUN,Gabber,Hosoe Shinji,Y,N,Hosoe Shinji,,,,"Eco, HooN",0,0,0,,Y,N,Y,233,2.01E+13,0
77,77,hellopinky,Hello Pinky,HiFi POP,NieN,Y,N,NieN,,,,"Tari, AJ",0,0,0,,Y,N,Y,62,2.01E+13,0
78,78,someday,Someday,90's Pop,NieN,Y,N,NieN,이지애,,,Chris,0,0,0,,Y,N,Y,143,2.01E+13,0
79,79,yourown,Your Own Miracle,Miracle Pop,Ruby Tuesday,Y,N,Ruby Tuesday,Christine Jones,,,"DMP2 Opening Staff, Z_B",0,0,0,,Y,N,Y,5,2.01E+13,0
80,80,theguilty,The Guilty,Speed Funk,P'sycho-Remi,Y,N,P'sycho-Remi,,,,"SINBARU, woodstock",0,0,0,,Y,N,Y,293,2.01E+13,0
81,81,rage,Rage Of Demon,Nu Metal,NieN,Y,N,NieN,NieN,,,DumpingLIFE,0,0,0,,Y,N,Y,202,2.01E+13,0
82,82,season,Season (Warm Mix),Electronic Soul,makou,Y,N,makou,,Vocal Forge (on sample),,Nova,0,0,0,,Y,N,Y,303,2.01E+13,0
83,83,baramegelive,바람에게 부탁해 Live Mix,Live Pop,Forte Escape,Y,N,Forte Escape,Miya,,,"DMP1 Opening Staff, Z_B",0,0,0,,Y,N,Y,276,2.01E+13,0
84,84,dreamofwinds,Dream of Winds,Melodic Trance,XeoN,Y,N,XeoN,Miya,,,KIM YS,0,0,0,,Y,N,Y,300,2.01E+13,0
85,85,fallen,Fallen Angel,Modern Rock,DJ Mocha,Y,N,DJ Mocha,Yujin,,,"Tari, ENTIA J",0,0,0,,Y,N,Y,273,2.01E+13,0
86,86,hanzup,Hanz up!,Hip House,Mr.Funky,Y,N,Mr.Funky,,,,"DumpingLIFE, Z_B",0,0,0,,Y,N,Y,217,2.01E+13,0
87,87,youandme,You & Me,K-Pop,NieN,Y,N,NieN,"정상희, 혜린",,,"KKUEM, Jin",0,0,0,,Y,N,Y,322,2.01E+13,0
88,88,airwave,Airwave,Melodic Trance,ReX,Y,N,ReX,,,,Z_B,0,0,0,,Y,N,Y,267,2.01E+13,0
89,89,burnitdown,Burn It Down,Industrial,P'sycho-Remi,Y,N,P'sycho-Remi,P'sycho-Remi,,,79C,0,0,0,,Y,N,Y,41,2.01E+13,0
90,90,neversay,Never Say,Jungle Pop,NDLee,Y,N,NDLee,Yoa,,,"38, DumpingLIFE",0,0,0,,Y,N,Y,275,2.01E+13,0
91,91,miles,Miles,Electro Fusion,Electronic Boutique,Y,N,Electronic Boutique,,,,BF,0,0,0,,Y,N,Y,3,2.01E+13,0
92,92,emblem,Emblem,Irish Dance,makou,Y,N,makou,,,,"Xloth, D",0,0,0,,Y,N,Y,313,2.01E+13,0
93,93,thorremix,Thor ~ Deep'in Absonant Mix ~,Melodic Trance,XeoN,Y,N,XeoN,P'sycho-Remi,,,"Eco, DumpingLIFE",0,0,0,,Y,N,Y,345,2.01E+13,0
94,94,hexad,HEXAD,Electro House,Electronic Boutique,Y,N,Electronic Boutique,Yoa,,,"KIM YS, Z_B",0,0,0,,Y,N,Y,242,2.01E+13,0
95,95,dualstrikers,Dual Strikers,Techno Trance,7 Sequence,Y,N,7 Sequence,,,,"GiggSan, Z_B, D",0,0,0,,Y,N,Y,19,2.01E+13,0
96,96,puzzler,Puzzler,Toy Pop,Electronic Boutique,Y,N,Electronic Boutique,,,,"Sara, ENTIA J",0,0,0,,Y,N,Y,173,2.01E+13,0
97,97,sin,SIN,Drum n Bass,ESTi,Y,N,ESTi,,,,RESS,0,0,0,,Y,N,Y,174,2.01E+13,0
98,98,youshould,You should get over me,90's Rock,Jessica Wolff,Y,N,"Jessica Wolff, Janne Rintala",,,,"Sobong, aj",0,0,0,,Y,N,Y,347,2.01E+13,0
99,99,kalwrnw,Kal_wrnw,Nu Skool Breaks,Lee Zu,Y,N,Lee Zu,,,,DumpingLIFE,0,0,0,,Y,N,Y,336,2.01E+13,0
100,100,endofthemoon,End of the Moonlight,Techno Pop,Forte Escape,Y,N,Forte Escape,Miya,,,"EyeHead, US, PonGlow",0,0,0,,Y,N,Y,214,2.01E+13,0
101,101,xeus,XEUS,Melodic Trance,XeoN,Y,N,XeoN,,,,"UKYO, Hoon",0,0,0,,Y,N,Y,316,2.01E+13,0
102,102,d2,D2,Progressive,FIRST AID,Y,N,FIRST AID,,,,Amitasia,0,0,0,,Y,N,Y,213,2.01E+13,0
103,103,deborah,Deborah,Komplextro,Paul Bazooka,Y,N,Paul Bazooka,Lucy,,,"PUNEW, DANZI",0,0,0,,Y,N,Y,343,2.01E+13,0
104,104,liar,Liar,Techno Trance,zts,Y,N,zts,,,,ECO,0,0,0,,Y,N,Y,346,2.02E+13,0
105,105,sunnyside,Sunny Side,Bright RnB,CROOVE,Y,N,CROOVE,So Fly,JC(on Rap),,TIV,0,0,0,,Y,N,Y,10,2.02E+13,0
106,106,gobaek2,"Propose, Flower, Wolf PART.2",Progressive,ReX,Y,N,ReX,,,,D,0,0,0,,Y,N,Y,42,2.02E+13,0
107,107,playthefuture,Play The Future,Electro House,Urbatronic Chopsticks,Y,N,Urbatronic Chopsticks,,,,"KIM YS, Z_B",0,0,0,,Y,N,Y,49,2.02E+13,0
108,108,landscape,Landscape,Melodic Trance,Tsukasa,Y,N,Tsukasa,,,,KIM YS,0,0,0,,Y,N,Y,285,2.02E+13,0
109,109,dearmylady,Dear My Lady,HI-NRG,Oriental ST8,Y,N,Oriental ST8,,,,Cozy,0,0,0,,Y,N,Y,38,2.02E+13,0
110,110,beyondthe,Beyond The Future,Technical House,7 Sequence,Y,N,7 Sequence,,,,"ECO, D",0,0,0,,Y,N,Y,286,2.02E+13,0
111,111,access,Access,Techno Trance,Sphazer,Y,N,Sphazer,,,,KIM YS,0,0,0,,Y,N,Y,208,2.02E+13,0
112,112,coastaltempo,Coastal Tempo,Up Tempo,3rd Coast,Y,N,3rd Coast,So Fly,JC(on Rap),,"ZAKTAN, 79C",0,0,0,,Y,N,Y,280,2.02E+13,0
113,113,enemystorm,Enemy Storm,Hardcore,CROOVE,Y,N,CROOVE,,,,Jay,0,0,0,,Y,N,Y,255,2.02E+13,0
114,114,supersonic,SuperSonic,SpeedCore,Planetboom,Y,N,Planetboom,PlanetBoom,Mike Blunck(on Rap),,"D, Z_B",0,0,0,,Y,N,Y,224,2.02E+13,0
115,115,cozyquilt,Cozy Quilt,Jazz House,bermei.inazawa,Y,N,bermei.inazawa,,,,"Yein, 79C",0,0,0,,Y,N,Y,295,2.02E+13,0
116,116,jupiter,Jupiter Driving,Techno Stock,xxdbxx,Y,N,xxdbxx,,,,EyeHead,0,0,0,,Y,N,Y,219,2.02E+13,0
117,117,giveme5,Give Me 5,Soulful House,NDLee,Y,N,NDLee,Baby Chou,,,"Sara, ENTIA J",0,0,0,,Y,N,Y,312,2.02E+13,0
118,118,dreamagain,Dream Again,Ani Pop,DINY,Y,N,DINY,Creha,,,"Young-in, ENTIA J",0,0,0,,Y,N,Y,142,2.02E+13,0
119,119,feelmabeat,Feel Ma Beat,Rap Metal,NieN,Y,N,NieN,"NieN, Jae Hwan",,,"ZAKTAN, DumpingLIFE",0,0,0,,Y,N,Y,314,2.02E+13,0
120,120,memoryofbeach,Memory of Beach,Dance Pop,M2U,Y,N,M2U,,,,AP,0,0,0,,Y,N,Y,278,2.02E+13,0
121,121,theclear,The Clear Blue Sky,J-POP,Tsukasa,Y,N,Tsukasa,,,,"Kkuem, Hoon",0,0,0,,Y,N,Y,263,2.02E+13,0
122,122,jealousy,Jealousy,Marble House,3rd coast,Y,N,3rd coast,So Fly,JC(on Rap),,"willow, Waveun",0,0,0,,Y,N,Y,243,2.02E+13,0
123,123,whiteblue,Whiteblue,Trance,zts,Y,N,zts,,,,KIMYS,0,0,0,,Y,N,Y,184,2.02E+13,0
124,124,honeymoon,Honeymoon,Acid Pop,Humming Urban Stereo,Y,N,Humming Urban Stereo,Yozo,,,"SARA, 79c",0,0,0,,Y,N,Y,284,2.02E+13,0
